!!!SBtab DocumentName='iCH360' Name='iCH360' SBtabVersion='1.0' Date='2024-9-3'																										
!!SBtab TableID='compartment' Document='../Exemples/SBML/iCH360/Escherichia_coli_iCH360' TableType='Compartment' TableName='Compartment' SBtabVersion='1.0' Date='2024-9-3'																										
!ID	!Name	!Size	!Unit	!SBOTerm																						
c	cytosol	nan																								
e	extracellular space	nan																								
p	periplasm	nan																								
																										
!!SBtab TableID='compound' Document='../Exemples/SBML/iCH360/Escherichia_coli_iCH360' TableType='Compound' TableName='Compound' SBtabVersion='1.0' Date='2024-9-3'																										
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:bigg.metabolite	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:inchikey	!Identifiers:kegg.compound	!Identifiers:metanetx.chemical	!Identifiers:reactome	!Identifiers:sabiork.compound	!Identifiers:seed.compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg.drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:slm	!Identifiers:kegg_glycan
M_glyc_c	Glycerol	c	False	SBO:0000247	0.0010000000000000002	False	C3H8O3	0	glyc	META:GLYCEROL	CHEBI:131422	HMDB00131	PEDCQBHIVMGVHV-UHFFFAOYSA-N	C00116	MNXM89612	76116	1303	cpd00100	2e8c8093-3269-46b3-be2e-f1df9fdde25c	48edd8a9-6a4a-4900-b0cf-97b1ccaa1125	D00028					
M_val__L_c	L-Valine	c	False	SBO:0000247	0.037470357482167066	False	C5H11NO2	0	val__L	META:VAL	CHEBI:46484	HMDB34366	KZSNJWFQEVHDMF-BYPYZUCNSA-N	C00183	MNXM199	29702	23113	cpd00156	65a4c231-5232-4f08-93e2-007eb0537f0e	b2ec1d47-f20f-4b19-9b15-ac1a3c2159c5	D00039		LMFA01100046			
M_pro__L_c	L-Proline	c	False	SBO:0000247	0.016138702057108607	False	C5H9NO2	0	pro__L	META:PRO	CHEBI:58054	HMDB00162	ONIBWKKTOPOVIA-BYPYZUCNSA-N	C00148	MNXM114	113538	82	cpd15140			D00035					
M_cbasp_c	N-Carbamoyl-L-aspartate	c	False	SBO:0000247	9.809349507435607	False	C5H6N2O5	-2	cbasp	META:CARBAMYUL-L-ASPARTATE	CHEBI:15859	HMDB00828	HLKXYZVTANABHZ-REOHCLBHSA-L	C00438	MNXM465	111628	2049	cpd00343								
M_mqn8_c	Menaquinone 8	c	False	SBO:0000247	0.0010000000000000002	False	C51H72O2	0	mqn8	META:CPD-9728	CHEBI:44027		LXKDFTDVRVLXFY-WQWYCSGDSA-N		MNXM509			cpd15500								
M_lac__D_p	D-Lactate	p	False	SBO:0000247	0.0010000000000000002	False	C3H5O3	-1	lac__D	META:D-LACTATE	CHEBI:42105	HMDB00171	JVTAAEKCZFNVCJ-UWTATZPHSA-M	C00256	MNXM285		2284	cpd00221								
M_malACP_c	Malonyl-[acyl-carrier protein]	c	False	SBO:0000247	4.291977869323249	False	C14H22N2O10PRS	-2	malACP	META:MALONYL-ACP	CHEBI:17330			C01209	MNXM184		5446	cpd11492								
M_3hdecACP_c	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.5509013970824282	False	C21H39N2O9PRS	-1	3hdecACP	META:Beta-hydroxydecanoyl-ACPs				C04619	MNXM7127			cpd11482								
M_cdec3eACP_c	Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)	c	False	SBO:0000247	0.027121707632206653	False	C21H37N2O8PRS	-1	cdec3eACP						MNXM7186											
M_3hcmrs7eACP_c	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.06812490305389418	False	C25H45N2O9PRS	-1	3hcmrs7eACP						MNXM5390			cpd15368								
M_glu__L_p	L-Glutamate	p	False	SBO:0000247	0.0010000000000000002	False	C5H8NO4	-1	glu__L	META:GLT	CHEBI:29988	HMDB60475	WHUUTDBJXJRKMK-VKHMYHEASA-M	C00025	MNXM89557	210382	2010	cpd19002			D04341					
M_3oddecACP_c	3-Oxododecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.12452123284349513	False	C23H41N2O9PRS	-1	3oddecACP	META:3-oxo-dodecanoyl-ACPs	CHEBI:1637			C05756	MNXM28933		8116	cpd11489					LMFA07060014			
M_glyc__R_p	(R)-Glycerate	p	False	SBO:0000247	0.0010000000000000002	False	C3H5O4	-1	glyc__R	META:GLYCERATE	CHEBI:32398	HMDB00139	RBNPOMFGQQGHHO-UWTATZPHSA-M	C00258	MNXM189	6799497	1999	cpd00223	42fb796b-d2e8-4cf9-ba19-d4d843d29da0			6be053c1-d456-4f14-a62a-26231b127f45				
M_3ooctdACP_c	3-Oxooctadecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.0010000000000000002	False	C29H53N2O9PRS	-1	3ooctdACP						MNXM3491			cpd15377								
M_but2eACP_c	But-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.07584774532628132	False	C15H25N2O8PRS	-1	but2eACP					C04246	MNXM3229			cpd11465								
M_pyr_c	Pyruvate	c	False	SBO:0000247	0.0010000000000001735	False	C3H3O3	-1	pyr	META:PYRUVATE	CHEBI:15361	HMDB00243	LCTONWCANYUPML-UHFFFAOYSA-M	C00022	MNXM23	389680	33	cpd00020	ccc99777-54dc-42d4-a97e-009b780d3905	dc01020e-8c7e-4087-9f56-cf8c962b7437			LMFA01060077			
M_dump_c	DUMP C9H11N2O8P	c	False	SBO:0000247	0.10249723008670847	False	C9H11N2O8P	-2	dump	META:DUMP	CHEBI:10532	HMDB01409	JSRLJPSBLDHEIO-SHYZEUOFSA-L	C00365	MNXM234	500742	1334	cpd00299								
M_acon_C_c	Cis-Aconitate	c	False	SBO:0000247	0.31568948111048784	False	C6H3O6	-3	acon_C	META:CIS-ACONITATE	CHEBI:10482	HMDB00072	GTZCVFVGUGFEME-IWQZZHSRSA-K	C00417	MNXM813		2043	cpd00331		643481e5-a35b-477e-8665-70f4dca66baa						
M_grxox_c	Glutaredoxin (oxidized)	c	False	SBO:0000247	0.0010000000000000002	False	X	0	grxox						MNXM90831			cpd15480								
M_icit_c	Isocitrate	c	False	SBO:0000247	0.0014485689003766295	False	C6H5O7	-3	icit	Isocitrate	CHEBI:24884	HMDB00193	ODBLHEXUDAPZAU-UHFFFAOYSA-K	C00311	MNXM89661		2013	cpd00260								
M_lac__D_c	D-Lactate	c	False	SBO:0000247	0.0010000000000000002	False	C3H5O3	-1	lac__D	META:D-LACTATE	CHEBI:42105	HMDB00171	JVTAAEKCZFNVCJ-UWTATZPHSA-M	C00256	MNXM285		2284	cpd00221								
M_nadh_c	Nicotinamide adenine dinucleotide - reduced	c	False	SBO:0000247	0.0010000000000000002	False	C21H27N7O14P2	-2	nadh	META:NADH	CHEBI:13396	HMDB01487	BOPGDPNILDQYTO-NNYOXOHSSA-L	C00004	MNXM10	194697	38	cpd00004								
M_amp_c	AMP C10H12N5O7P	c	False	SBO:0000247	0.0018868766397358695	False	C10H12N5O7P	-2	amp	META:AMP	CHEBI:12056	HMDB00045	UDMBCSSLTHHNCD-KQYNXXCUSA-L	C00020	MNXM14	164121	1273	cpd00018			D02769					
M_3php_c	3-Phosphohydroxypyruvate	c	False	SBO:0000247	0.05620801563434873	False	C3H2O7P	-3	3php	META:3-P-HYDROXYPYRUVATE	CHEBI:30933	HMDB01024	LFLUCDOSQPJJBE-UHFFFAOYSA-K	C03232	MNXM541	977329	2712	cpd02069								
M_dtdp_c	DTDP C10H13N2O11P2	c	False	SBO:0000247	0.08876431482910337	False	C10H13N2O11P2	-3	dtdp	META:TDP	CHEBI:46061	HMDB01274	UJLXYODCHAELLY-XLPZGREQSA-K	C00363	MNXM152		1333	cpd00297								
M_dhf_c	7,8-Dihydrofolate	c	False	SBO:0000247	0.1885216680897739	False	C19H19N7O6	-2	dhf	META:DIHYDROFOLATE	CHEBI:4564	HMDB01056	OZRNSSUDZOLUSN-LBPRGKRZSA-L	C00415	MNXM281	73604	1336	cpd00330								
M_for_c	Formate	c	False	SBO:0000247	10.000000000000002	False	CH1O2	-1	for	META:CPD1G-1533	CHEBI:24082	HMDB00142	BDAGIHXWWSANSR-UHFFFAOYSA-M	C00058	MNXM39	6801451	1285	cpd22511	1d077cf2-3f9f-4163-aa49-0fca1b2b3ab3	09c1ad08-016e-4477-8840-b97a031eae23		bf16ab32-cb3c-4427-a65a-089ab754823e		34fe3cd9-9b0b-46b0-a1c5-8a66509f1919		
M_pi_e	Phosphate	e	False	SBO:0000247	10.000000000000002	False	HO4P	-2	pi	META:PHOSPHATE-GROUP	CHEBI:7793	HMDB05947	NBIIXXVUZAFLBC-UHFFFAOYSA-L	C00009	MNXM9	113548	36	cpd00009	aac01fea-4223-49c1-8b12-cd50f11ebfc8	c581b2ce-6238-45de-abc0-60ca8d47ed04	D05467			ad82c39b-2edb-4953-b971-79a2d2ea6e26		
M_3opalmACP_c	3-Oxohexadecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.03973209507916258	False	C27H49N2O9PRS	-1	3opalmACP	META:3-oxo-palmitoyl-ACPs	CHEBI:1639			C05762	MNXM4345		8122	cpd11485					LMFA07060019			
M_3hcvac11eACP_c	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.0010000000000000002	False	C29H53N2O9PRS	-1	3hcvac11eACP						MNXM6557			cpd15370								
M_coa_c	Coenzyme A	c	False	SBO:0000247	0.0010938424169605711	False	C21H32N7O16P3S	-4	coa	META:CO-A	CHEBI:13294	HMDB62184	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	C00010	MNXM12	8939024	1265	cpd00010		19310484-6aa5-4dcf-b1da-855a8c21ecfd						
M_asn__L_c	L-Asparagine	c	False	SBO:0000247	0.07953195768688147	False	C4H8N2O3	0	asn__L	META:ASN	CHEBI:32650	HMDB00168	DCXYFEDJOCDNAF-REOHCLBHSA-N	C00152	MNXM147	379703	72	cpd15142								
M_udp_c	UDP C9H11N2O12P2	c	False	SBO:0000247	0.09271915274209944	False	C9H11N2O12P2	-3	udp	META:UDP	CHEBI:27230	HMDB00295	XCCTYIAWTASOJW-XVFCMESISA-K	C00015	MNXM17	158602	1269	cpd00014								G10619
M_leu__L_c	L-Leucine	c	False	SBO:0000247	0.0010000000000000002	False	C6H13NO2	0	leu__L	META:LEU	CHEBI:15603	HMDB62203	ROHFNLRQFUQHCH-YFKPBYRVSA-N	C00123	MNXM140	351964	69	cpd15143			D00030		LMFA01100048			
M_25aics_c	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	c	False	SBO:0000247	9.99999999999811	False	C13H15N4O12P	-4	25aics	META:P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	CHEBI:572	HMDB06274	NAQGHJTUZRHGAC-ZZZDFHIKSA-J	C04823	MNXM607	111399	1893	cpd19032								
M_3omrsACP_c	3-Oxotetradecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.06374431051553135	False	C25H45N2O9PRS	-1	3omrsACP	META:3-oxo-myristoyl-ACPs	CHEBI:1655			C05759	MNXM26095		8119	cpd11491					LMFA07060017			
M_acald_c	Acetaldehyde	c	False	SBO:0000247	0.0010000000000000002	False	C2H4O	0	acald	META:ACETALD	CHEBI:15343	HMDB00990	IKHGUXGNUITLKF-UHFFFAOYSA-N	C00084	MNXM75	113745	1292	cpd00071	ee2c714d-ff9d-4df8-b343-48c1ec76ef0e	78f3645f-408e-4001-9dda-a52ea62a15d4		9c8865b2-a99d-42e4-a042-c88504f04b51		47aa8e53-36ae-4be3-987c-c1cfab66af78		
M_3hmrsACP_c	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.08613276424306274	False	C25H47N2O9PRS	-1	3hmrsACP	META:R-3-hydroxymyristoyl-ACPs				C04688	MNXM7733			cpd11484								
M_pram_c	5-Phospho-beta-D-ribosylamine	c	False	SBO:0000247	0.32484440738030873	False	C5H11NO7P	-1	pram	META:5-P-BETA-D-RIBOSYL-AMINE	CHEBI:58681	HMDB62576	SKCBPEVYGOQGJN-TXICZTDVSA-M	C03090	MNXM90003	111292	1884	cpd01982								
M_3c4mop_c	3-Carboxy-4-methyl-2-oxopentanoate	c	False	SBO:0000247	0.01848457664586741	False	C7H8O5	-2	3c4mop	META:CPD-7100	CHEBI:1467	HMDB12149	HIIZAGQWABAMRR-BYPYZUCNSA-L	C04236	MNXM1602			cpd02605								
M_hcys__L_c	L-Homocysteine	c	False	SBO:0000247	0.1715192913941056	False	C4H9NO2S	0	hcys__L	META:HOMO-CYS	CHEBI:63072	HMDB00742	FFFHZYDWPBMWHY-UHFFFAOYSA-N	C00155	MNXM123	174369	2768	cpd00135								
M_mal__L_e	L-Malate	e	False	SBO:0000247	0.0010000000000000002	False	C4H4O5	-2	mal__L	META:MAL	CHEBI:11066	HMDB00156	BJEPYKJPYRNKOW-REOHCLBHSA-L	C00149	MNXM98	113544	1918	cpd00130								
M_co2_c	CO2 CO2	c	False	SBO:0000247	0.0010000000000002516	False	CO2	0	co2	META:CARBON-DIOXIDE	CHEBI:13282	HMDB01967	CURLTUGMZLYLDI-UHFFFAOYSA-N	C00011	MNXM13	159942	1266	cpd00011	2ec3da94-5f50-4525-81b1-5607c5c7a3d3	05f60af4-0a3f-4ead-9a29-33bb0f123379	D00004					
M_pi_p	Phosphate	p	False	SBO:0000247	0.21909606333207532	False	HO4P	-2	pi	META:PHOSPHATE-GROUP	CHEBI:7793	HMDB05947	NBIIXXVUZAFLBC-UHFFFAOYSA-L	C00009	MNXM9	113548	36	cpd00009	aac01fea-4223-49c1-8b12-cd50f11ebfc8	c581b2ce-6238-45de-abc0-60ca8d47ed04	D05467			ad82c39b-2edb-4953-b971-79a2d2ea6e26		
M_fum_e	Fumarate	e	False	SBO:0000247	0.0010000000000000002	False	C4H2O4	-2	fum	META:FUM	CHEBI:24122	HMDB00134	VZCYOOQTPOCHFL-OWOJBTEDSA-L	C00122	MNXM93	29586	1910	cpd00106		709035ec-4868-4de8-9095-06428f6be14b	D02308					
M_acald_e	Acetaldehyde	e	False	SBO:0000247	0.0010000000000000002	False	C2H4O	0	acald	META:ACETALD	CHEBI:15343	HMDB00990	IKHGUXGNUITLKF-UHFFFAOYSA-N	C00084	MNXM75	113745	1292	cpd00071	ee2c714d-ff9d-4df8-b343-48c1ec76ef0e	78f3645f-408e-4001-9dda-a52ea62a15d4		9c8865b2-a99d-42e4-a042-c88504f04b51		47aa8e53-36ae-4be3-987c-c1cfab66af78		
M_etoh_p	Ethanol	p	False	SBO:0000247	0.0010000000000000002	False	C2H6O	0	etoh	META:ETOH	CHEBI:14222	HMDB00108	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	C00469	MNXM303	30203	56	cpd00363	56e18a05-c059-433a-94f6-0e26c01b010f	9fb1fbdf-101b-4b82-a596-d2f52c870e4f	D04855			f89efe7c-1a6a-4d21-b99c-e3e1070a8062		
M_gthox_c	Oxidized glutathione	c	False	SBO:0000247	0.0010000000000000002	False	C20H30N6O12S2	-2	gthox	META:OXIDIZED-GLUTATHIONE	CHEBI:14720	HMDB03337	YPZRWBKMTBYPTK-BJDJZHNGSA-L	C00127	MNXM151	3341331	1939	cpd00111			D00031					
M_gar_c	N1-(5-Phospho-D-ribosyl)glycinamide	c	False	SBO:0000247	9.999807868988198	False	C7H14N2O8P	-1	gar	META:5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	CHEBI:1983	HMDB02022	OBQMLSFOUZUIOB-HJZCUYRDSA-M	C03838	MNXM463		1887	cpd02394								
M_3haACP_c	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	c	False	SBO:0000247	0.06058121517309533	False	C15H27N2O9PRS	-1	3haACP	META:OH-ACYL-ACP	CHEBI:84648			C01271	MNXM5861	8862371		cpd11836								
M_3ooctACP_c	3-Oxooctanoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.079577495667814	False	C19H33N2O9PRS	-1	3ooctACP	META:3-Oxo-octanoyl-ACPs	CHEBI:1646			C05750	MNXM28031		8110	cpd11490					LMFA07060008			
M_3ocmrs7eACP_c	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	c	False	SBO:0000247	0.043843395679783355	False	C25H43N2O9PRS	-1	3ocmrs7eACP						MNXM6838			cpd15374								
M_acg5p_c	N-Acetyl-L-glutamyl 5-phosphate	c	False	SBO:0000247	0.007656137974849457	False	C7H9NO8P	-3	acg5p	META:N-ACETYL-GLUTAMYL-P	CHEBI:57936	HMDB06456	FCVIHFVSXHOPSW-YFKPBYRVSA-K	C04133	MNXM1384		1790	cpd02552								
M_4pasp_c	4-Phospho-L-aspartate	c	False	SBO:0000247	8.662143461807702	False	C4H6NO7P	-2	4pasp	META:L-BETA-ASPARTYL-P	CHEBI:57535	HMDB12250	IXZNKTPIYKDIGG-REOHCLBHSA-L	C03082	MNXM1177		1733	cpd01977								
M_glu5p_c	L-Glutamate 5-phosphate	c	False	SBO:0000247	0.0010000000000001637	False	C5H8NO7P	-2	glu5p	META:L-GLUTAMATE-5-P	CHEBI:21312	HMDB01228	PJRXVIJAERNUIP-VKHMYHEASA-L	C03287	MNXM1280		1742	cpd02097								
M_h2o_e	H2O H2O	e	False	SBO:0000247	0.0010000000000000002	False	H2O	0	h2o	META:OH	CHEBI:44701	HMDB01039	XLYOFNOQVPJJNP-UHFFFAOYSA-N	C00001	MNXM2	351603	40	cpd15275	e7f34a8e-cded-4793-b6d5-792335b38636		D06322			969d0227-3069-4e44-9525-7ae7bad84170		
M_23dhdp_c	2,3-Dihydrodipicolinate	c	False	SBO:0000247	1.8208055138387498	False	C7H5NO4	-2	23dhdp	META:2-3-DIHYDRODIPICOLINATE	CHEBI:11421	HMDB12247	UWOCFOFVIBZJGH-YFKPBYRVSA-L	C03340	MNXM807		6562	cpd02120								
M_3mop_c	(S)-3-Methyl-2-oxopentanoate	c	False	SBO:0000247	0.2695739580420997	False	C6H9O3	-1	3mop	META:2-KETO-3-METHYL-VALERATE	CHEBI:15614		JVQYSWDUAOAHFM-BYPYZUCNSA-M	C00671	MNXM439		5174	cpd00508					LMFA01020275			
M_dgtp_c	DGTP C10H12N5O13P3	c	False	SBO:0000247	0.02608067903008043	False	C10H12N5O13P3	-4	dgtp	META:DGTP	CHEBI:14076	HMDB01440	HAAZLUGHYHWQIW-KVQBGUIXSA-J	C00286	MNXM344		1675	cpd00241								
M_rib__D_e	D-Ribose	e	False	SBO:0000247	0.0010000000000000002	False	C5H10O5	0	rib__D	META:D-Ribopyranose	CHEBI:21078	HMDB00283	HMFHBZSHGGEWLO-SOOFDHNKSA-N	C00121	MNXM242		1653	cpd00105								
M_dcamp_c	N6-(1,2-Dicarboxyethyl)-AMP	c	False	SBO:0000247	4.963627136172166	False	C14H14N5O11P	-4	dcamp	META:ADENYLOSUCC	CHEBI:15919	HMDB00536	OFBHPPMPBOJXRT-DPXQIYNJSA-J	C03794	MNXM565	35141	1886	cpd02375								
M_myrsACP_c	Myristoyl-ACP (n-C14:0ACP)	c	False	SBO:0000247	0.12943946433077222	False	C25H47N2O8PRS	-1	myrsACP						MNXM89779											
M_ACP_c	Acyl carrier protein	c	False	SBO:0000247	0.18273793263003685	False	C11H21N2O7PRS	-1	ACP	META:ACP	CHEBI:2458			C00229	MNXM925		2186	cpd11493								
M_palmACP_c	Palmitoyl-ACP (n-C16:0ACP)	c	False	SBO:0000247	0.010207486011519122	False	C27H51N2O8PRS	-1	palmACP						MNXM2026											
M_succoa_c	Succinyl-CoA	c	False	SBO:0000247	8.658848012164311	False	C25H35N7O19P3S	-5	succoa	META:SUC-COA	CHEBI:26811	HMDB01022	VNOYUJKHFWYWIR-ITIYDSSPSA-I	C00091	MNXM92	70958	1931	cpd00078		359075fb-98d9-458d-ba82-db4020e753f3			LMFA07050370			
M_xyl__D_c	D-Xylose	c	False	SBO:0000247	0.0010000000000000002	False	C5H10O5	0	xyl__D	META:D-Xylopyranose	CHEBI:53455	HMDB03763	SRBFZHDQGSBBOR-IOVATXLUSA-N	C00181	MNXM348	2090063		cpd00154			D06346					
M_for_e	Formate	e	False	SBO:0000247	0.0010000000000000002	False	CH1O2	-1	for	META:CPD1G-1533	CHEBI:24082	HMDB00142	BDAGIHXWWSANSR-UHFFFAOYSA-M	C00058	MNXM39	6801451	1285	cpd22511	1d077cf2-3f9f-4163-aa49-0fca1b2b3ab3	09c1ad08-016e-4477-8840-b97a031eae23		bf16ab32-cb3c-4427-a65a-089ab754823e		34fe3cd9-9b0b-46b0-a1c5-8a66509f1919		
																										
!!SBtab TableID='reaction' Document='../Exemples/SBML/iCH360/Escherichia_coli_iCH360' TableType='Reaction' TableName='Reaction' SBtabVersion='1.0' Date='2024-9-3'																										
!ID	!Name	!ReactionFormula	!Location	!Regulator	!KineticLaw	!SBOTerm	!IsReversible	!SBML:fbc:GeneAssociation	!SBML:fbc:LowerBound	!SBML:fbc:UpperBound	!Identifiers:bigg.reaction	!Identifiers:biocyc	!Identifiers:ec-code	!Identifiers:kegg.reaction	!Identifiers:metanetx.reaction	!Identifiers:rhea	!Identifiers:sabiork.reaction	!Identifiers:seed.reaction	!Identifiers:reactome	!Identifiers:deprecated_metanetx.reaction						
R_NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	M_atp_c + M_dgdp_c <=> M_adp_c + M_dgtp_c				SBO:0000176	True	(G_b0474 or G_b2518)	cobra_default_lb	cobra_default_ub	NDPK5	ECOLI:DGDPKIN-RXN	2.7.4.6	R01857	MNXR96118	27693	183	rxn01353								
R_SHK3Dr	Shikimate dehydrogenase	M_3dhsk_c + M_h_c + M_nadph_c <=> M_nadp_c + M_skm_c				SBO:0000176	True	(G_b3281 or G_b1692)	cobra_default_lb	cobra_default_ub	SHK3Dr	ECOLI:SHIKIMATE-5-DEHYDROGENASE-RXN	1.1.1.282	R02413	MNXR104378	17740	2351	rxn01740	R-MTU-964842							
R_NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	M_atp_c + M_dudp_c <=> M_adp_c + M_dutp_c				SBO:0000176	True	(G_b2518 or G_b0474)	cobra_default_lb	cobra_default_ub	NDPK6	ECOLI:DUDPKIN-RXN	2.7.4.6	R02331	MNXR101938	28585	421	rxn01678								
R_NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	M_atp_c + M_dadp_c <=> M_adp_c + M_datp_c				SBO:0000176	True	(G_b2518 or G_b0474)	cobra_default_lb	cobra_default_ub	NDPK8	ECOLI:DADPKIN-RXN	2.7.4.6	R01137	MNXR101940	27676		rxn00839								
R_DHORTS	Dihydroorotase	M_dhor__S_c + M_h2o_c <=> M_cbasp_c + M_h_c				SBO:0000176	True	G_b1062	cobra_default_lb	cobra_default_ub	DHORTS	ECOLI:DIHYDROOROT-RXN	3.5.2.3	R01993	MNXR97428	24297	399	rxn01465	R-PFA-73571							
R_OMPDC	Orotidine-5'-phosphate decarboxylase	M_h_c + M_orot5p_c <=> M_co2_c + M_ump_c				SBO:0000176	False	G_b1281	cobra_0_bound	cobra_default_ub	OMPDC	ECOLI:OROTPDECARB-RXN	4.1.1.23	R00965	MNXR188594	11598	463	rxn00710	R-XTR-73564	MNXR102190						
R_G5SD	Glutamate-5-semialdehyde dehydrogenase	M_glu5p_c + M_h_c + M_nadph_c <=> M_glu5sa_c + M_nadp_c + M_pi_c				SBO:0000176	False	G_b0243	cobra_0_bound	cobra_default_ub	G5SD	ECOLI:GLUTSEMIALDEHYDROG-RXN	1.2.1.41	R03313	MNXR99896	19542	3127	rxn02373								
R_CS	Citrate synthase	M_accoa_c + M_h2o_c + M_oaa_c <=> M_cit_c + M_coa_c + M_h_c				SBO:0000176	False	G_b0720	cobra_0_bound	cobra_default_ub	CS	ECOLI:CITSYN-RXN	2.3.3.3	R00351	MNXR190844	16848	267	rxn00256	R-BTA-70975	MNXR96920						
R_ICDHyr	Isocitrate dehydrogenase (NADP)	M_icit_c + M_nadp_c <=> M_akg_c + M_co2_c + M_nadph_c				SBO:0000176	True	G_b1136	cobra_default_lb	cobra_default_ub	ICDHyr	ECOLI:ISOCITDEH-RXN	1.1.1.42	R00267	MNXR191121	19632	269	rxn00198		MNXR100781						
R_ACALD	Acetaldehyde dehydrogenase (acetylating)	M_acald_c + M_coa_c + M_nad_c <=> M_accoa_c + M_h_c + M_nadh_c				SBO:0000176	True	(G_b0351 or G_b1241 or G_b2455)	cobra_default_lb	cobra_default_ub	ACALD	ECOLI:ACETALD-DEHYDROG-RXN	1.2.1.10	R00228	MNXR190509	23288	163	rxn00171		MNXR95210						
R_PPA	Inorganic diphosphatase	M_h2o_c + M_ppi_c <=> M_h_c + 2.0 M_pi_c				SBO:0000176	False	(G_b0383 or G_b4226)	cobra_0_bound	cobra_default_ub	PPA	ECOLI:INORGPYROPHOSPHAT-RXN	3.6.1.1	R00004	MNXR145285	24578	76	rxn11226	R-DDI-449937	MNXR100808						
R_PPCK	Phosphoenolpyruvate carboxykinase	M_atp_c + M_oaa_c <=> M_adp_c + M_co2_c + M_pep_c				SBO:0000176	False	G_b3403	cobra_0_bound	cobra_default_ub	PPCK	ECOLI:PEPCARBOXYKIN-RXN	4.1.1.49	R00341	MNXR103099	18619	151	rxn00247								
R_ME1	Malic enzyme (NAD)	M_mal__L_c + M_nad_c <=> M_co2_c + M_nadh_c + M_pyr_c				SBO:0000176	False	G_b1479	cobra_0_bound	cobra_default_ub	ME1	ECOLI:1.1.1.39-RXN	1.1.1.39	R00214	MNXR101446	12656	141	rxn00159								
R_ALATA_L	L-alanine transaminase	M_akg_c + M_ala__L_c <=> M_glu__L_c + M_pyr_c				SBO:0000176	True	(G_b2379 or G_b2290 or G_b3359 or G_b0928 or G_b1748 or G_b2662 or G_b3073 or G_b1302 or G_b0907 or G_b4054)	cobra_default_lb	cobra_default_ub	ALATA_L	ECOLI:ALANINE-AMINOTRANSFERASE-RXN	2.6.1.2	R00258	MNXR95698	19454	763	rxn00191	R-CEL-507775							
R_XYLK	Xylulokinase	M_atp_c + M_xylu__D_c <=> M_adp_c + M_h_c + M_xu5p__D_c				SBO:0000176	False	(G_b3564 or G_b0063)	cobra_0_bound	cobra_default_ub	XYLK	ECOLI:XYLULOKIN-RXN	2.7.1.17	R01639	MNXR146759	10967		rxn01199	R-MMU-5662466	MNXR105255						
R_RBK	Ribokinase	M_atp_c + M_rib__D_c <=> M_adp_c + M_h_c + M_r5p_c				SBO:0000176	False	G_b3752	cobra_0_bound	cobra_default_ub	RBK	ECOLI:RIBOKIN-RXN	2.7.1.15		MNXR189840					MNXR103431						
R_GLYK	Glycerol kinase	M_atp_c + M_glyc_c <=> M_adp_c + M_glyc3p_c + M_h_c				SBO:0000176	False	G_b3926	cobra_0_bound	cobra_default_ub	GLYK	ECOLI:GLYCEROL-KIN-RXN	2.7.1.30	R00847	MNXR100348	21646	99	rxn00615	R-PFA-75887							
R_ASPTA	Aspartate transaminase	M_akg_c + M_asp__L_c <=> M_glu__L_c + M_oaa_c				SBO:0000176	True	(G_b0928 or G_b4054)	cobra_default_lb	cobra_default_ub	ASPTA	ECOLI:ASPAMINOTRANS-RXN	2.6.1.1	R00355	MNXR192556	21826	825	rxn00260	R-GGA-372719	MNXR96079						
